Summary Statistic,beef_stew,ground_chuck,all_uncooked_ground,ground_beef,beef_steaks,steak_sirloin,ground_lean,chuck_roast,all_steaks,beef_roast,round_roast,(all data)
Mean,4.18,3.10,3.65,2.81,6.64,6.78,3.94,4.15,4.78,4.81,4.31,4.44
Standard Error,0.08,0.06,0.07,0.07,0.12,0.12,0.09,0.08,0.08,0.08,0.07,0.03
Median,3.61,2.80,3.60,2.31,6.05,6.09,3.23,3.51,4.18,4.66,3.92,4.05
Mode,2.57,1.86,2.30,1.56,3.66,4.19,2.18,2.52,5.76,3.19,3.02,2.52
Standard Deviation,1.66,1.20,1.24,1.34,2.19,2.42,1.76,1.73,1.62,1.54,1.39,2.07
Sample Variance,2.74,1.44,1.53,1.79,4.81,5.86,3.11,2.99,2.62,2.38,1.93,4.27
Kurtosis,-0.42,-0.14,-0.60,-0.33,-0.30,0.19,-1.03,-0.22,0.12,-0.33,0.15,1.54
Skewness,0.82,0.81,0.43,0.79,0.73,0.95,0.58,0.86,0.97,0.63,0.87,1.11
Range,6.76,4.97,5.07,5.43,9.12,10.31,6.37,7.04,7.10,6.68,6.29,13.00
Minimum,2.41,1.73,1.82,1.32,3.62,4.01,1.97,2.31,3.00,2.62,2.65,14.32
Maximum,9.17,6.70,6.90,6.75,12.74,14.32,8.34,9.34,10.10,9.29,8.94,1.32
Count,410,421,337,420,337,421,421,421,421,337,421,4367
