Date,Price,Change,% Change,Cumulative Change %
03/27/26,4.19,-0.52,-11.14,717.77
03/20/26,4.71,0.66,16.37,820.31
03/13/26,4.05,0.37,9.97,690.82
03/06/26,3.68,1.00,37.08,619.14
02/27/26,2.69,0.05,2.01,424.61
02/20/26,2.63,0.20,8.18,414.26
02/13/26,2.43,0.08,3.53,375.39
02/06/26,2.35,-0.13,-5.28,359.18
01/30/26,2.48,0.15,6.30,384.77
01/23/26,2.34,0.10,4.29,356.05
01/16/26,2.24,0.08,3.95,337.30
01/09/26,2.15,0.03,1.60,320.70
01/02/26,2.12,-0.02,-1.03,314.06
12/26/25,2.14,-0.03,-1.56,318.36
12/19/25,2.18,-0.08,-3.37,325.00
12/12/25,2.25,-0.17,-6.87,339.84
12/05/25,2.42,0.04,1.81,372.27
11/28/25,2.38,-0.12,-4.66,363.87
11/21/25,2.49,-0.09,-3.67,386.52
11/14/25,2.59,0.05,2.09,405.08
11/07/25,2.53,0.09,3.51,394.73
10/31/25,2.45,,,377.93
10/24/25,2.45,0.22,9.78,377.93
10/17/25,2.23,-0.02,-0.98,335.35
10/10/25,2.25,-0.04,-1.66,339.65
10/03/25,2.29,-0.19,-7.52,347.07
09/26/25,2.48,0.12,5.23,383.40
09/19/25,2.35,0.01,0.38,359.38
09/12/25,2.34,0.00,0.09,357.62
09/05/25,2.34,0.02,0.82,357.23
08/29/25,2.32,-0.04,-1.65,353.52
08/22/25,2.36,0.08,3.55,361.13
08/15/25,2.28,-0.04,-1.77,345.31
08/08/25,2.32,-0.02,-0.77,353.32
08/01/25,2.34,-0.11,-4.45,356.84
07/25/25,2.45,-0.06,-2.24,378.13
07/18/25,2.50,0.03,1.21,389.06
07/11/25,2.47,0.09,3.86,383.20
07/03/25,2.38,0.08,3.70,365.23
06/27/25,2.30,-0.26,-10.13,348.63
06/20/25,2.56,0.15,6.41,399.22
06/13/25,2.40,0.27,12.82,369.14
06/06/25,2.13,0.11,5.66,315.82
05/30/25,2.02,-0.09,-4.41,293.55
05/23/25,2.11,-0.03,-1.40,311.72
05/16/25,2.14,0.07,3.29,317.58
05/09/25,2.07,0.06,3.24,304.30
05/02/25,2.01,-0.17,-7.94,291.60
04/25/25,2.18,0.02,1.16,325.39
04/17/25,2.15,0.08,3.81,320.51
04/11/25,2.07,-0.03,-1.33,305.08
04/04/25,2.10,-0.17,-7.32,310.55
03/28/25,2.27,0.01,0.49,342.97
03/21/25,2.26,0.08,3.91,340.82
03/14/25,2.17,-0.07,-2.99,324.22
03/07/25,2.24,-0.11,-4.80,337.30
02/28/25,2.35,-0.09,-3.69,359.38
02/21/25,2.44,-0.05,-1.97,376.95
02/14/25,2.49,0.00,-0.20,386.52
02/07/25,2.50,0.04,1.71,387.50
01/31/25,2.45,-0.07,-2.97,379.30
01/24/25,2.53,-0.10,-3.80,393.95
01/17/25,2.63,0.13,5.12,413.48
01/10/25,2.50,0.15,6.34,388.48
01/03/25,2.35,0.13,6.09,359.38
12/27/24,2.22,0.00,0.05,333.01
12/20/24,2.22,-0.03,-1.42,332.81
12/13/24,2.25,0.14,6.59,339.06
12/06/24,2.11,-0.06,-2.59,311.91
11/29/24,2.17,-0.09,-4.03,322.85
11/22/24,2.26,0.10,4.54,340.62
11/15/24,2.16,-0.07,-3.14,321.48
11/08/24,2.23,0.00,-0.18,335.16
11/01/24,2.23,0.01,0.45,335.94
10/25/24,2.22,0.08,3.83,333.98
10/18/24,2.14,-0.19,-8.00,317.97
10/11/24,2.33,0.04,1.79,354.30
10/04/24,2.29,0.17,8.09,346.29
09/27/24,2.11,-0.03,-1.54,312.89
09/20/24,2.15,0.08,4.02,319.34
09/13/24,2.06,-0.02,-0.86,303.13
09/06/24,2.08,-0.13,-5.79,306.64
08/30/24,2.21,-0.07,-2.99,331.64
08/23/24,2.28,0.00,-0.22,344.92
08/16/24,2.28,-0.02,-0.74,345.90
08/09/24,2.30,0.01,0.44,349.22
08/02/24,2.29,-0.11,-4.62,347.27
07/26/24,2.40,,,368.95
07/19/24,2.40,-0.09,-3.65,368.95
07/12/24,2.49,-0.11,-4.15,386.72
07/05/24,2.60,0.09,3.75,407.81
06/28/24,2.51,0.04,1.62,389.45
06/21/24,2.47,0.02,0.69,381.64
06/14/24,2.45,0.11,4.66,378.32
06/07/24,2.34,-0.01,-0.34,357.03
05/31/24,2.35,-0.05,-2.21,358.59
05/24/24,2.40,-0.07,-2.91,368.95
05/17/24,2.47,0.05,2.15,383.01
05/10/24,2.42,-0.01,-0.41,372.85
05/03/24,2.43,-0.11,-4.29,374.80
04/26/24,2.54,0.01,0.24,396.09
04/19/24,2.53,-0.14,-5.16,394.92
04/12/24,2.67,-0.02,-0.63,421.88
04/05/24,2.69,0.08,3.15,425.20
03/28/24,2.61,-0.04,-1.51,409.18
03/22/24,2.65,-0.08,-2.76,416.99
03/15/24,2.72,0.07,2.56,431.64
03/08/24,2.65,-0.07,-2.64,418.36
03/01/24,2.73,0.04,1.53,432.42
02/23/24,2.69,-0.12,-4.35,424.41
02/16/24,2.81,-0.13,-4.56,448.24
02/09/24,2.94,0.26,9.90,474.41
02/02/24,2.68,-0.17,-6.01,422.66
01/26/24,2.85,0.18,6.91,456.05
01/19/24,2.66,-0.01,-0.37,420.12
01/12/24,2.67,0.06,2.18,422.07
01/05/24,2.62,0.08,3.36,410.94
12/29/23,2.53,-0.09,-3.51,394.34
12/22/23,2.62,0.01,0.54,412.30
12/15/23,2.61,-0.02,-0.57,409.57
12/08/23,2.62,-0.10,-3.64,412.50
12/01/23,2.72,-0.16,-5.55,431.84
11/24/23,2.88,0.05,1.91,463.09
11/17/23,2.83,0.02,0.53,452.54
11/10/23,2.81,-0.18,-6.04,449.61
11/03/23,3.00,-0.01,-0.47,484.96
10/27/23,3.01,-0.21,-6.52,487.70
10/20/23,3.22,-0.04,-1.20,528.71
10/13/23,3.26,0.30,10.03,536.33
10/06/23,2.96,-0.39,-11.66,478.32
09/29/23,3.35,0.01,0.42,554.69
09/22/23,3.34,-0.06,-1.79,551.95
09/15/23,3.40,0.08,2.32,563.87
09/08/23,3.32,0.21,6.82,548.83
09/01/23,3.11,-0.20,-6.16,507.42
08/25/23,3.31,0.17,5.27,547.27
08/18/23,3.15,0.03,1.09,514.84
08/11/23,3.11,0.05,1.70,508.20
08/04/23,3.06,0.11,3.80,498.05
07/28/23,2.95,0.21,7.62,476.17
07/21/23,2.74,0.15,5.63,435.35
